"trait","model_scale","error_stratum","effect","Df","sum_sq","mean_sq","F_value","p_value","p_formatted","significance"
"Foliar nitrogen","log(%N)","tree_id","site        ",1,0.848233700123957,0.848233700123957,14.4149556285584,0.000988966969126166,"<0.001","***"
"Foliar nitrogen","log(%N)","tree_id","species     ",2,19.3459618506131,9.67298092530657,164.383460376321,5.90805535952725e-14,"<0.001","***"
"Foliar nitrogen","log(%N)","tree_id","site:species",2,0.1024191997519,0.0512095998759499,0.870260294845837,0.432769723777096,"0.433",""
"Foliar nitrogen","log(%N)","tree_id","Residuals   ",22,1.29456807801449,0.0588440035461131,NA,NA,NA,""
"Foliar nitrogen","log(%N)","tree_id:week_f","week_f             ",9,3.67812175286179,0.408680194762421,38.0620724400829,1.22187846673624e-38,"<0.001","***"
"Foliar nitrogen","log(%N)","tree_id:week_f","site:week_f        ",9,0.200722482608066,0.0223024980675629,2.07712364807859,0.033191594264308,"0.033","*"
"Foliar nitrogen","log(%N)","tree_id:week_f","species:week_f     ",18,0.527476683026684,0.0293042601681491,2.72922663642053,0.000338222750126378,"<0.001","***"
"Foliar nitrogen","log(%N)","tree_id:week_f","site:species:week_f",18,0.179787367965693,0.00998818710920517,0.930241069099702,0.542866864711305,"0.543",""
"Foliar nitrogen","log(%N)","tree_id:week_f","Residuals          ",198,2.12596617512988,0.0107372029046964,NA,NA,NA,""
"Foliar C/N","log(C/N)","tree_id","site        ",1,0.64737557130385,0.64737557130385,11.6908831324963,0.00245613061216789,"0.002","**"
"Foliar C/N","log(C/N)","tree_id","species     ",2,14.3836969331504,7.19184846657519,129.87678815253,6.57787595207688e-13,"<0.001","***"
"Foliar C/N","log(C/N)","tree_id","site:species",2,0.116985854334316,0.0584929271671581,1.05631723824794,0.364718840974545,"0.365",""
"Foliar C/N","log(C/N)","tree_id","Residuals   ",22,1.2182366727366,0.0553743942152999,NA,NA,NA,""
"Foliar C/N","log(C/N)","tree_id:week_f","week_f             ",9,3.45776836616485,0.384196485129428,38.6860318892098,4.48267712234182e-39,"<0.001","***"
"Foliar C/N","log(C/N)","tree_id:week_f","site:week_f        ",9,0.196013491340573,0.0217792768156192,2.19302838527826,0.0240057250337937,"0.024","*"
"Foliar C/N","log(C/N)","tree_id:week_f","species:week_f     ",18,0.5728942327419,0.03182745737455,3.20481336660203,3.01288216373163e-05,"<0.001","***"
"Foliar C/N","log(C/N)","tree_id:week_f","site:species:week_f",18,0.203135128156527,0.0112852848975849,1.1363531638758,0.319522491995714,"0.320",""
"Foliar C/N","log(C/N)","tree_id:week_f","Residuals          ",198,1.96636616217142,0.009931142233189,NA,NA,NA,""
"Carbon isotope composition","c13","tree_id","site        ",1,5.12462285714278,5.12462285714278,0.932508074694831,0.34470813490435,"0.345",""
"Carbon isotope composition","c13","tree_id","species     ",2,147.323682674286,73.661841337143,13.4039643030577,0.000156046971738962,"<0.001","***"
"Carbon isotope composition","c13","tree_id","site:species",2,22.07849954,11.03924977,2.00877017413093,0.158023211927742,"0.158",""
"Carbon isotope composition","c13","tree_id","Residuals   ",22,120.9015835,5.49552652272727,NA,NA,NA,""
"Carbon isotope composition","c13","tree_id:week_f","week_f             ",9,28.5291628571429,3.16990698412698,8.88782986803237,3.22752098113785e-11,"<0.001","***"
"Carbon isotope composition","c13","tree_id:week_f","site:week_f        ",9,6.32673428571429,0.702970476190477,1.9709985264288,0.0444263071059214,"0.044","*"
"Carbon isotope composition","c13","tree_id:week_f","species:week_f     ",18,9.54639354158731,0.53035519675485,1.48701737369184,0.0974779890907245,"0.097","."
"Carbon isotope composition","c13","tree_id:week_f","site:species:week_f",18,5.41637781555556,0.300909878641976,0.843695357741453,0.647151169987123,"0.647",""
"Carbon isotope composition","c13","tree_id:week_f","Residuals          ",198,70.6180915,0.356657027777778,NA,NA,NA,""
