"site","week","n","mean_N","se_N","mean_CN","se_CN","mean_c13","se_c13"
"c",1,14,2.75214285714286,0.176427236725832,18.973598233864,1.05366904356944,-26.6492857142857,0.363007075106957
"c",2,14,2.74357142857143,0.194251471610693,18.6640500235397,1.21382373649419,-26.9678571428571,0.270549255273494
"c",3,14,2.38571428571429,0.157702300866497,20.9295393573005,1.28327710314162,-25.9771428571429,0.217986360525598
"c",4,14,2.32071428571429,0.163859576325377,21.728188358897,1.59537435502415,-27.0071428571429,0.399644661634556
"c",5,14,2.23357142857143,0.182677302531767,23.3270633218639,1.7445832411904,-26.4121428571429,0.256106044681591
"c",6,14,2.15,0.136820247842855,23.5252906491324,1.47252775369701,-27.0178571428571,0.343005748472363
"c",7,14,2.06857142857143,0.127287237444791,24.3630177847108,1.47218218251209,-27.1692857142857,0.414936065889084
"c",8,14,1.96071428571429,0.165680296817492,26.8939177321891,2.49472900243998,-27.0221428571429,0.287463669126211
"c",9,14,1.94571428571429,0.150737069263786,26.8356538051653,2.27511933024868,-27.0428571428571,0.357236690970001
"c",10,14,2.03142857142857,0.138241932947705,26.3405527756185,1.80571033425546,-26.8114285714286,0.375487751871266
"p",1,14,2.64857142857143,0.186564831682507,19.7711045442895,1.24698084073293,-26.5857142857143,0.271470789082289
"p",2,14,2.19857142857143,0.172782201537007,22.8499285852504,1.55750968641568,-27.0778571428571,0.290640026155668
"p",3,14,2.10714285714286,0.162813277300428,23.3840170490499,1.52731245992267,-26.1778571428571,0.282236317807404
"p",4,14,2.04071428571429,0.188503255242578,25.4128317052898,2.12763275494844,-26.4742857142857,0.318103435879538
"p",5,14,1.98571428571429,0.16584685867918,26.1929934953847,1.67387857021569,-25.7221428571429,0.372027676170382
"p",6,14,1.87928571428571,0.148136647214785,27.2075369592399,1.95092411818277,-26.4178571428571,0.295436310928018
"p",7,14,1.96857142857143,0.172864862237953,26.6554662278918,2.19492438085208,-26.6271428571429,0.309477454967948
"p",8,14,1.87714285714286,0.155871983862457,27.4460582814878,2.58662808238483,-26.685,0.303852100373025
"p",9,14,1.81642857142857,0.139112600225865,28.1624615402755,2.11925956845477,-26.8164285714286,0.345672790625707
"p",10,14,1.85642857142857,0.159541262508168,28.6536569718426,2.15530692312944,-26.7871428571429,0.272288689258796
