"tree_id","site","species","replicate","pit_size_class","pit_length_cm","pit_width_cm","pit_depth_cm","pit_area_m2","pit_volume_m3"
"p-m-1","p","m","1",NA,NA,NA,NA,NA,NA
"p-m-2","p","m","2",NA,NA,NA,NA,NA,NA
"p-m-3","p","m","3",NA,NA,NA,NA,NA,NA
"p-m-4","p","m","4",NA,NA,NA,NA,NA,NA
"p-m-5","p","m","5",NA,NA,NA,NA,NA,NA
"p-d-1","p","d","1",NA,NA,NA,NA,NA,NA
"p-d-2","p","d","2",NA,NA,NA,NA,NA,NA
"p-d-3","p","d","3",NA,NA,NA,NA,NA,NA
"p-d-4","p","d","4",NA,NA,NA,NA,NA,NA
"p-d-5","p","d","5",NA,NA,NA,NA,NA,NA
"p-h-1","p","h","1",NA,NA,NA,NA,NA,NA
"p-h-2","p","h","2",NA,NA,NA,NA,NA,NA
"p-h-3","p","h","3",NA,NA,NA,NA,NA,NA
"p-h-4","p","h","4",NA,NA,NA,NA,NA,NA
"p-h-5","p","h","5",NA,NA,NA,NA,NA,NA
"c-m-1","c","m","1","small",71,71,61,0.5041,0.307501
"c-m-2","c","m","2","small",71,71,61,0.5041,0.307501
"c-m-3","c","m","3","small",71,71,61,0.5041,0.307501
"c-m-4","c","m","4","large",76,152,61,1.1552,0.704672
"c-m-5","c","m","5","large",76,152,61,1.1552,0.704672
"c-d-1","c","d","1","small",71,71,61,0.5041,0.307501
"c-d-2","c","d","2","small",71,71,61,0.5041,0.307501
"c-d-3","c","d","3","large",76,152,61,1.1552,0.704672
"c-d-4","c","d","4","large",76,152,61,1.1552,0.704672
"c-d-5","c","d","5","large",76,152,61,1.1552,0.704672
"c-h-1","c","h","1","small",71,71,61,0.5041,0.307501
"c-h-2","c","h","2","small",71,71,61,0.5041,0.307501
"c-h-3","c","h","3","large",76,152,61,1.1552,0.704672
"c-h-4","c","h","4","large",76,152,61,1.1552,0.704672
"c-h-5","c","h","5","large",76,152,61,1.1552,0.704672
