species,species_label,week,n,mean_density,sd_density,se_density
d,Dogwood,2,9,369.00368287232027,58.54406836301944,19.514689454339813
d,Dogwood,3,9,376.0772358986267,72.56858681124199,24.189528937080663
d,Dogwood,4,9,159.76798435417524,53.20891902966274,17.736306343220914
d,Dogwood,5,9,268.79501499964545,58.35681246702828,19.452270822342758
d,Dogwood,6,9,236.9640263812664,23.12467711008462,7.708225703361539
d,Dogwood,7,9,351.3198003065541,56.7539684672184,18.9179894890728
d,Dogwood,8,9,313.59418416625306,63.465185491618364,21.155061830539456
d,Dogwood,9,9,327.74129021886597,58.943327831773,19.647775943924334
d,Dogwood,10,9,299.4470781136401,67.68562360713821,22.561874535712736
h,Hawthorn,2,9,304.1627801311777,56.643659386325226,18.88121979544174
h,Hawthorn,3,9,337.1726942539412,63.16884837618578,21.056282792061925
h,Hawthorn,4,9,164.29505829101137,35.21123469499168,11.737078231663894
h,Hawthorn,5,9,332.45699223640355,38.25608720409212,12.752029068030707
h,Hawthorn,6,9,384.3297144293176,37.80382309874389,12.601274366247964
h,Hawthorn,7,9,299.4470781136401,41.017459696901845,13.672486565633948
h,Hawthorn,8,9,328.92021572325035,61.1821447819517,20.394048260650568
h,Hawthorn,9,9,367.8247573679359,46.24935422016924,15.416451406723079
h,Hawthorn,10,9,358.3933533328606,30.83290281344616,10.27763427114872
m,Maple,2,9,519.9061474335248,106.2358417240955,35.41194724136516
m,Maple,3,9,549.379285043135,69.9352282377129,23.3117427459043
m,Maple,4,9,548.2003595387506,86.19872466441387,28.73290822147129
m,Maple,5,9,620.1148153061996,60.74613148734438,20.24871049578146
m,Maple,6,9,558.8106890782103,78.5092691230928,26.16975637436427
m,Maple,7,9,518.7272219291403,70.26979510466049,23.42326503488683
m,Maple,8,9,542.3057320168285,56.753968467218414,18.917989489072806
m,Maple,9,9,614.2201877842775,72.8266857415106,24.275561913836867
m,Maple,10,9,647.230101907041,98.68176903034329,32.89392301011443
