site,species,replicate,pit_size_class,pit_length_cm,pit_width_cm,pit_depth_cm
p,m,1,NA,NA,NA,NA
p,m,2,NA,NA,NA,NA
p,m,3,NA,NA,NA,NA
p,m,4,NA,NA,NA,NA
p,m,5,NA,NA,NA,NA
p,d,1,NA,NA,NA,NA
p,d,2,NA,NA,NA,NA
p,d,3,NA,NA,NA,NA
p,d,4,NA,NA,NA,NA
p,d,5,NA,NA,NA,NA
p,h,1,NA,NA,NA,NA
p,h,2,NA,NA,NA,NA
p,h,3,NA,NA,NA,NA
p,h,4,NA,NA,NA,NA
p,h,5,NA,NA,NA,NA
c,m,1,small,71,71,61
c,m,2,small,71,71,61
c,m,3,small,71,71,61
c,m,4,large,76,152,61
c,m,5,large,76,152,61
c,d,1,small,71,71,61
c,d,2,small,71,71,61
c,d,3,large,76,152,61
c,d,4,large,76,152,61
c,d,5,large,76,152,61
c,h,1,small,71,71,61
c,h,2,small,71,71,61
c,h,3,large,76,152,61
c,h,4,large,76,152,61
c,h,5,large,76,152,61
